Timestamp,Location,State,Threat_Level,Threat_Probability,Fume_Detection,Metal_Detection,GPR_Reading,Ground_CV,Drone_CV,Disturbance,Thermal,Explosive_Type,Fume_Signature,Danger_Level,Detonation_Velocity,Density,Brisance,Explosive_Class,Action
2025-05-06 06:22:32,Jowai Checkpoint,Meghalaya,HIGH,68.32,94.12,53.6,100.0,43.64,3.63,99.46,0.0,Unknown-112,Unknown,Medium,5000,1.5,Medium to High,Unknown,Route diversion and increased surveillance
2025-05-06 06:27:32,Senapati Checkpoint,Manipur,LOW,10.08,10.67,0.0,29.02,8.16,14.49,67.26,0.0,Unknown-1,Unknown,Medium,5000,1.5,High,Unknown,Standard patrol procedures
2025-05-06 06:32:32,Shillong City Center,Meghalaya,LOW,21.3,25.61,17.02,26.29,0.0,27.05,0.0,0.0,Unknown-42,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 06:46:32,Dibrugarh Oil Town,Assam,CRITICAL,81.21,100.0,61.89,90.74,43.0,69.36,82.13,15.35,Unknown-163,Unknown,Medium,5000,1.5,,Unknown,Immediate evacuation and EOD deployment
2025-05-06 07:37:32,Baghmara District,Meghalaya,MODERATE,36.03,19.27,46.68,37.44,40.39,34.59,29.02,23.65,Unknown-121,Unknown,Medium,5000,1.5,Medium to High,Unknown,Enhanced monitoring and caution advised
2025-05-06 08:09:32,Sabroom Border Post,Tripura,HIGH,69.27,91.61,61.99,100.0,72.66,13.66,95.43,42.05,Unknown-77,Unknown,Medium,5000,1.5,Very High,Unknown,Route diversion and increased surveillance
2025-05-06 08:29:32,Kailashahar Checkpoint,Tripura,LOW,6.88,1.94,35.08,0.0,1.34,6.19,20.81,15.2,Unknown-83,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 09:03:32,Jowai Checkpoint,Meghalaya,LOW,30.76,44.59,21.15,35.95,48.18,33.19,8.8,53.74,Unknown-111,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-06 09:08:32,Kohima City,Nagaland,HIGH,75.63,73.16,39.8,52.56,99.34,90.62,96.39,15.38,Unknown-15,Unknown,Medium,5000,1.5,Very High,Unknown,Route diversion and increased surveillance
2025-05-06 09:37:32,Kokrajhar Border,Assam,LOW,18.5,38.84,14.61,35.62,33.96,23.13,29.39,4.63,Unknown-133,Unknown,Medium,5000,1.5,,Unknown,Standard patrol procedures
2025-05-06 10:40:32,Ukhrul Hills,Manipur,LOW,14.52,30.43,11.63,10.7,10.32,30.07,27.56,14.73,Unknown-21,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 11:14:32,Kakching District,Manipur,LOW,24.17,35.2,34.55,38.04,35.91,50.95,26.37,11.67,Unknown-124,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-06 11:17:32,Jiribam Railway Station,Manipur,HIGH,64.32,82.58,51.08,67.69,46.12,61.82,95.22,22.11,Unknown-125,Unknown,Medium,5000,1.5,Medium to High,Unknown,Route diversion and increased surveillance
2025-05-06 11:20:32,Agartala City,Tripura,MODERATE,44.17,54.17,10.03,64.38,13.33,43.63,41.2,100.0,Unknown-1,Unknown,Medium,5000,1.5,High,Unknown,Enhanced monitoring and caution advised
2025-05-06 11:35:32,Kokrajhar Border,Assam,LOW,2.65,24.3,0.94,0.0,17.43,0.0,0.0,0.63,Unknown-129,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-06 12:09:32,Phek District,Nagaland,LOW,29.67,41.09,36.2,16.56,4.1,2.49,50.61,41.67,Unknown-78,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 12:26:32,Imphal Airport Road,Manipur,HIGH,59.47,62.64,44.85,92.2,50.27,96.23,61.44,50.44,Unknown-50,Unknown,Medium,5000,1.5,Very High,Unknown,Route diversion and increased surveillance
2025-05-06 12:36:32,Itanagar Capital,Arunachal Pradesh,LOW,29.43,7.96,25.19,47.7,0.0,61.42,55.21,8.05,Unknown-87,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 12:37:32,Kokrajhar Border,Assam,HIGH,68.87,55.5,50.36,67.1,92.92,81.98,45.39,36.02,Unknown-30,Unknown,Medium,5000,1.5,Extremely High,Unknown,Route diversion and increased surveillance
2025-05-06 14:07:32,Kokrajhar Border,Assam,CRITICAL,75.66,82.31,67.3,96.39,89.26,58.84,26.6,42.04,Unknown-58,Unknown,Medium,5000,1.5,Very High,Unknown,Immediate evacuation and EOD deployment
2025-05-06 14:11:32,Imphal City Center,Manipur,LOW,29.56,35.33,30.95,24.51,34.86,50.76,34.07,12.6,Unknown-160,Unknown,Medium,5000,1.5,,Unknown,Standard patrol procedures
2025-05-06 14:15:32,Silchar Airport,Assam,MODERATE,34.8,40.52,50.6,28.77,36.46,3.22,15.09,61.86,Unknown-24,Unknown,Medium,5000,1.5,Extremely High,Unknown,Enhanced monitoring and caution advised
2025-05-06 14:34:32,Lunglei Town,Mizoram,MODERATE,37.45,57.98,13.8,49.52,47.2,49.78,4.72,62.12,Unknown-91,Unknown,Medium,5000,1.5,High,Unknown,Enhanced monitoring and caution advised
2025-05-06 15:36:32,Thoubal Checkpoint,Manipur,LOW,33.67,52.76,25.5,10.21,31.42,31.91,29.27,0.0,Unknown-38,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 16:56:32,Mokokchung Town,Nagaland,LOW,28.3,55.51,7.99,28.88,23.85,40.1,28.04,33.17,Unknown-90,Unknown,Medium,5000,1.5,High,Unknown,Standard patrol procedures
2025-05-06 17:31:32,Phek District,Nagaland,MODERATE,48.99,52.72,36.27,60.83,50.57,48.06,41.21,49.82,Unknown-124,Unknown,Medium,5000,1.5,Medium to High,Unknown,Enhanced monitoring and caution advised
2025-05-06 18:21:32,Haflong Hills,Assam,LOW,19.07,9.33,19.75,19.49,16.53,5.28,45.18,24.73,Unknown-75,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 18:27:32,Jorhat District,Assam,LOW,17.15,27.63,15.88,18.29,3.68,9.02,36.03,22.88,Unknown-126,Unknown,Medium,5000,1.5,High,Unknown,Standard patrol procedures
2025-05-06 18:54:32,Silchar Airport,Assam,LOW,29.16,37.0,31.92,22.9,13.4,13.12,30.81,62.9,Unknown-127,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-06 19:06:32,Mokokchung Town,Nagaland,LOW,32.8,52.78,35.43,32.43,21.17,63.0,21.49,0.0,Unknown-162,Unknown,Medium,5000,1.5,,Unknown,Standard patrol procedures
2025-05-06 19:29:32,Jowai Checkpoint,Meghalaya,MODERATE,47.77,64.7,15.73,39.43,17.77,49.51,55.68,49.4,Unknown-146,Unknown,Medium,5000,1.5,,Unknown,Enhanced monitoring and caution advised
2025-05-06 19:54:32,Sabroom Border Post,Tripura,LOW,19.83,23.46,14.43,29.72,12.78,2.45,7.49,15.43,Unknown-3,Unknown,Medium,5000,1.5,High,Unknown,Standard patrol procedures
2025-05-06 20:23:32,Champhai Border,Mizoram,HIGH,62.96,74.79,69.85,72.07,28.68,42.89,20.56,21.51,Unknown-146,Unknown,Medium,5000,1.5,,Unknown,Route diversion and increased surveillance
2025-05-06 20:25:32,Dimapur Junction,Nagaland,LOW,10.2,3.38,1.1,34.15,22.35,18.17,0.0,0.0,Unknown-84,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 20:45:32,Guwahati City,Assam,LOW,18.55,33.38,1.67,40.23,47.69,15.14,26.55,0.0,Unknown-165,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Standard patrol procedures
2025-05-06 20:47:32,Imphal City Center,Manipur,LOW,6.57,18.63,0.0,27.74,0.0,12.26,0.0,0.0,Unknown-62,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 20:53:32,Phek District,Nagaland,HIGH,63.9,74.66,57.63,58.16,55.18,72.29,85.2,65.68,Unknown-21,Unknown,Medium,5000,1.5,Very High,Unknown,Route diversion and increased surveillance
2025-05-06 21:33:32,Zunheboto Hills,Nagaland,MODERATE,40.75,52.19,0.88,42.8,28.14,28.35,48.53,66.86,Unknown-129,Unknown,Medium,5000,1.5,Medium to High,Unknown,Enhanced monitoring and caution advised
2025-05-06 21:44:32,Mokokchung Town,Nagaland,LOW,8.74,6.57,20.09,16.57,11.61,0.57,0.0,0.0,Unknown-63,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-06 22:00:32,Lunglei Town,Mizoram,HIGH,61.83,72.35,58.65,73.46,81.44,94.1,2.74,74.82,Unknown-23,Unknown,Medium,5000,1.5,Extremely High,Unknown,Route diversion and increased surveillance
2025-05-06 22:14:32,Moreh Border Post,Manipur,MODERATE,43.99,58.5,49.78,30.12,11.95,52.26,66.74,7.1,Unknown-185,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Enhanced monitoring and caution advised
2025-05-06 22:36:32,Imphal City Center,Manipur,LOW,18.05,12.4,1.1,27.18,4.58,10.84,39.21,5.08,Unknown-179,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Standard patrol procedures
2025-05-06 22:38:32,Kakching District,Manipur,LOW,30.59,47.72,11.64,25.18,4.46,0.81,34.44,33.17,Unknown-109,Unknown,Medium,5000,1.5,Medium,Unknown,Standard patrol procedures
2025-05-06 23:13:32,Peren Border,Nagaland,LOW,23.26,29.12,23.2,26.82,24.09,32.85,11.91,38.84,Unknown-16,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-07 00:40:32,Aizawl City,Mizoram,LOW,20.65,14.62,15.28,8.25,0.0,25.87,10.72,28.88,Unknown-117,Unknown,Medium,5000,1.5,Medium,Unknown,Standard patrol procedures
2025-05-07 00:54:32,Dimapur Junction,Nagaland,HIGH,56.51,64.37,26.35,74.24,32.43,46.98,23.28,42.34,Unknown-95,Unknown,Medium,5000,1.5,High,Unknown,Route diversion and increased surveillance
2025-05-07 01:20:32,Khowai Junction,Tripura,CRITICAL,95.77,77.08,90.18,79.3,97.2,13.87,100.0,55.19,Unknown-175,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Immediate evacuation and EOD deployment
2025-05-07 01:23:32,Cherrapunji Hills,Meghalaya,LOW,19.06,28.01,20.85,22.66,7.91,0.24,19.77,33.31,Unknown-7,Unknown,Medium,5000,1.5,High,Unknown,Standard patrol procedures
2025-05-07 01:50:32,Champhai Border,Mizoram,LOW,12.5,6.82,9.77,0.0,12.73,21.59,39.48,35.71,Unknown-172,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Standard patrol procedures
2025-05-07 01:56:32,Imphal City Center,Manipur,LOW,32.24,25.49,9.26,27.47,43.24,39.59,0.0,98.9,Unknown-91,Unknown,Medium,5000,1.5,High,Unknown,Standard patrol procedures
2025-05-07 02:22:32,Thoubal Checkpoint,Manipur,HIGH,67.2,72.81,12.63,63.63,100.0,66.06,88.15,37.37,Unknown-19,Unknown,Medium,5000,1.5,Very High,Unknown,Route diversion and increased surveillance
2025-05-07 02:25:32,Kailashahar Checkpoint,Tripura,MODERATE,40.66,60.86,2.67,70.54,11.68,96.66,12.82,20.71,Unknown-166,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Enhanced monitoring and caution advised
2025-05-07 03:02:32,Imphal Airport Road,Manipur,LOW,29.39,16.92,15.09,34.6,11.31,57.97,23.04,35.16,Unknown-112,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-07 03:46:32,Udaipur District,Tripura,HIGH,62.8,65.7,76.43,89.37,49.8,59.43,69.2,73.93,Unknown-172,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Route diversion and increased surveillance
2025-05-07 04:13:32,Tezpur Airbase,Assam,MODERATE,49.62,52.43,67.14,63.96,31.19,71.61,28.35,27.67,Unknown-177,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Enhanced monitoring and caution advised
2025-05-07 04:16:32,Cherrapunji Hills,Meghalaya,HIGH,64.18,89.64,46.0,100.0,50.38,60.88,95.59,62.64,Unknown-23,Unknown,Medium,5000,1.5,Extremely High,Unknown,Route diversion and increased surveillance
2025-05-07 06:05:32,Dawki Border,Meghalaya,LOW,16.75,7.76,1.69,28.8,23.61,5.26,0.0,26.39,Unknown-123,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-07 06:41:32,Imphal City Center,Manipur,MODERATE,38.94,75.27,37.08,44.92,31.74,85.73,5.85,43.6,Unknown-66,Unknown,Medium,5000,1.5,Very High,Unknown,Enhanced monitoring and caution advised
2025-05-07 07:05:32,Saiha District,Mizoram,MODERATE,35.89,28.8,27.54,37.51,25.47,44.32,0.0,26.38,Unknown-13,Unknown,Medium,5000,1.5,Very High,Unknown,Enhanced monitoring and caution advised
2025-05-07 07:17:32,Kailashahar Checkpoint,Tripura,LOW,19.27,34.11,33.87,4.08,0.0,14.41,15.83,45.16,Unknown-143,Unknown,Medium,5000,1.5,,Unknown,Standard patrol procedures
2025-05-07 07:17:32,Kohima City,Nagaland,MODERATE,38.59,42.2,0.0,58.32,44.64,8.92,79.06,10.85,Unknown-91,Unknown,Medium,5000,1.5,High,Unknown,Enhanced monitoring and caution advised
2025-05-07 07:43:32,Baghmara District,Meghalaya,MODERATE,37.83,47.57,3.89,61.1,43.68,35.96,7.48,53.94,Unknown-75,Unknown,Medium,5000,1.5,Very High,Unknown,Enhanced monitoring and caution advised
2025-05-07 08:01:32,Phek District,Nagaland,HIGH,59.93,61.78,50.08,33.39,53.68,39.35,100.0,51.43,Unknown-73,Unknown,Medium,5000,1.5,Very High,Unknown,Route diversion and increased surveillance
2025-05-07 08:27:32,Phek District,Nagaland,HIGH,57.55,67.23,13.48,89.51,17.16,69.96,0.0,31.92,Unknown-64,Unknown,Medium,5000,1.5,Very High,Unknown,Route diversion and increased surveillance
2025-05-07 08:27:32,Agartala City,Tripura,MODERATE,42.12,59.37,59.5,13.12,1.84,67.66,30.51,25.99,Unknown-96,Unknown,Medium,5000,1.5,High,Unknown,Enhanced monitoring and caution advised
2025-05-07 08:33:32,Sabroom Border Post,Tripura,LOW,32.49,45.36,30.18,32.7,36.62,34.38,45.46,62.91,Unknown-59,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-07 08:41:32,Jiribam Railway Station,Manipur,LOW,32.28,24.01,48.5,55.97,2.9,38.15,30.46,1.64,Unknown-35,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-07 08:41:32,Mon Border Area,Nagaland,MODERATE,37.77,14.17,27.13,63.01,62.46,45.23,27.56,43.43,Unknown-103,Unknown,Medium,5000,1.5,Low to Medium,Unknown,Enhanced monitoring and caution advised
2025-05-07 08:54:32,Churachandpur Border,Manipur,LOW,12.46,24.95,0.0,26.3,7.51,27.12,32.01,18.86,Unknown-180,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Standard patrol procedures
2025-05-07 08:55:32,Haflong Hills,Assam,LOW,24.17,34.03,0.0,20.13,14.08,36.95,96.38,0.0,Unknown-102,Unknown,Medium,5000,1.5,Low to Medium,Unknown,Standard patrol procedures
2025-05-07 08:58:32,Tezpur Airbase,Assam,MODERATE,55.92,74.92,0.32,55.62,28.54,66.53,63.99,70.09,Unknown-83,Unknown,Medium,5000,1.5,Very High,Unknown,Enhanced monitoring and caution advised
2025-05-07 09:27:32,Dharmanagar Border,Tripura,MODERATE,43.67,63.77,55.02,45.14,54.11,61.93,8.21,31.05,Unknown-17,Unknown,Medium,5000,1.5,Very High,Unknown,Enhanced monitoring and caution advised
2025-05-07 09:30:32,Wokha Checkpoint,Nagaland,LOW,10.47,20.56,9.94,6.29,0.0,22.42,0.0,0.0,Unknown-118,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-07 10:22:32,Kakching District,Manipur,LOW,13.85,3.37,32.83,2.76,4.3,0.0,41.92,57.54,Unknown-132,Unknown,Medium,5000,1.5,,Unknown,Standard patrol procedures
2025-05-07 10:27:32,Tezpur Airbase,Assam,LOW,31.64,43.82,0.0,29.29,23.9,64.0,0.0,31.03,Unknown-151,Unknown,Medium,5000,1.5,,Unknown,Standard patrol procedures
2025-05-07 10:47:32,Itanagar Capital,Arunachal Pradesh,LOW,20.68,22.28,9.07,19.61,0.0,35.72,22.98,0.0,Unknown-119,Unknown,Medium,5000,1.5,High,Unknown,Standard patrol procedures
2025-05-07 11:30:32,Agartala City,Tripura,MODERATE,49.25,38.88,35.94,95.74,37.53,67.82,36.63,31.13,Unknown-18,Unknown,Medium,5000,1.5,Very High,Unknown,Enhanced monitoring and caution advised
2025-05-07 11:37:32,Imphal Airport Road,Manipur,LOW,7.22,10.28,10.66,5.87,0.44,10.72,0.0,16.48,Unknown-27,Unknown,Medium,5000,1.5,Extremely High,Unknown,Standard patrol procedures
2025-05-07 12:15:32,Tezpur Airbase,Assam,LOW,29.43,50.79,0.0,0.0,31.62,32.26,24.52,17.79,Unknown-132,Unknown,Medium,5000,1.5,,Unknown,Standard patrol procedures
2025-05-07 12:32:32,Khowai Junction,Tripura,MODERATE,37.68,57.97,0.0,56.51,34.79,35.77,86.2,0.0,Unknown-48,Unknown,Medium,5000,1.5,Very High,Unknown,Enhanced monitoring and caution advised
2025-05-07 13:59:32,Tawang Border,Arunachal Pradesh,LOW,33.9,45.22,6.95,42.82,31.93,28.04,6.76,45.62,Unknown-175,Unknown,Medium,5000,1.5,N/A (Primary),Unknown,Standard patrol procedures
2025-05-07 14:51:32,Longleng Checkpoint,Nagaland,LOW,33.71,49.9,14.33,0.6,21.97,68.98,22.41,42.82,Unknown-86,Unknown,Medium,5000,1.5,Very High,Unknown,Standard patrol procedures
2025-05-07 14:56:32,Haflong Hills,Assam,MODERATE,36.91,46.57,13.33,59.75,12.3,5.59,53.99,70.31,Unknown-23,Unknown,Medium,5000,1.5,Extremely High,Unknown,Enhanced monitoring and caution advised
2025-05-07 14:59:32,Silchar Airport,Assam,LOW,19.13,25.41,0.0,15.11,0.0,15.29,11.81,16.92,Unknown-118,Unknown,Medium,5000,1.5,Medium to High,Unknown,Standard patrol procedures
2025-05-07 15:09:32,Sabroom Border Post,Tripura,CRITICAL,78.51,70.78,43.32,86.54,53.87,77.65,79.53,36.71,Unknown-86,Unknown,Medium,5000,1.5,Very High,Unknown,Immediate evacuation and EOD deployment
2025-05-07 15:21:32,Phek District,Nagaland,HIGH,74.13,82.39,72.56,58.95,32.93,69.41,100.0,53.47,Unknown-133,Unknown,Medium,5000,1.5,,Unknown,Route diversion and increased surveillance
