Explosive Name,Common Synonyms,Type/Class,Composition (% by weight),Physical Appearance,Density (g/cm³),Detonation Velocity (m/s),Brisance,RE Factor,Detonation Products & Inferred Fume Color,Notes
TNT,Trinitrotoluene; Trotyl; Trilite,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (100%),Pale yellow crystalline solid,1.65,6900,High,1,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are likely Black (soot) and Orange/Brown (NOₓ),Also used in IEDs
TNT-001,Trinitrotoluene Alpha,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (98%); Stabilizer (2%),Light yellow crystalline solid,1.652,6910,High,1.002,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,Stabilized TNT variant
TNT-002,Trinitrotoluene Beta,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (96%); Wax (4%),Yellow-brown solid,1.654,6920,High,1.004,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,Phlegmatized TNT
TNT-003,Trinitrotoluene Gamma,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (94%); Paraffin (6%),Pale yellow waxy solid,1.656,6930,High,1.006,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,Low-sensitivity TNT
TNT-004,Trinitrotoluene Delta,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (97%); Graphite (3%),Grey-yellow solid,1.658,6940,High,1.008,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,Conductive TNT
TNT-005,Trinitrotoluene Epsilon,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (95%); Polymer (5%),Yellow granular solid,1.66,6950,High,1.01,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,Polymer-coated TNT
TNT-006,Trinitrotoluene Zeta,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (99%); Stabilizer (1%),Pale yellow solid,1.662,6960,High,1.012,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,High-purity TNT
TNT-007,Trinitrotoluene Eta,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (93%); Sulfur (7%),Yellow-brown solid,1.664,6970,High,1.014,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,Sulfur-modified TNT
TNT-008,Trinitrotoluene Theta,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (92%); DNT (8%),Yellow solid,1.666,6980,High,1.016,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,TNT/DNT mixture
TNT-009,Trinitrotoluene Iota,Nitroaromatic Secondary Explosive,C₇H₅N₃O₆ (91%); Wax (9%),Yellow waxy solid,1.668,6990,High,1.018,Produces nitric oxides (NOₓ) and unburnt carbon. Fumes are Black and Orange/Brown,Phlegmatized variant
