Timestamp,Location,State,Threat_Level,Threat_Probability,Fume_Detection,Metal_Detection,GPR_Reading,Ground_CV,Drone_CV,Disturbance,Thermal,Explosive_Type,Fume_Signature,Danger_Level,Detonation_Velocity,Density,Brisance,Explosive_Class,Action
2025-09-03 06:23:42,Dawki Border,Meghalaya,MODERATE,40.81,41.69,37.16,39.13,49.57,36.13,45.68,39.8,BlackPowder-004,White vapor,Low,420,1.683,Medium,Low Explosive,Enhanced monitoring and caution advised
2025-09-03 06:25:40,Wokha Checkpoint,Nagaland,MODERATE,45.77,59.91,43.09,38.2,42.15,55.59,30.62,33.92,Semtex-007,Orange/Brown NOx,Very High,7615,1.509,Very High,Plastic Explosive (PBX),Enhanced monitoring and caution advised
2025-09-03 06:32:37,Imphal Airport Road,Manipur,MODERATE,47.43,60.44,50.4,39.84,41.0,53.01,31.84,33.65,CompB-001,Black/Orange-Brown,Very High,7955,1.687,Very High,Melt-Cast Mixture,Enhanced monitoring and caution advised
2025-09-03 06:41:02,Ziro Valley,Arunachal Pradesh,MODERATE,42.71,41.99,56.92,29.23,35.54,49.71,46.69,35.8,BlackPowder-006,White vapor,Low,430,1.687,Medium,Low Explosive,Enhanced monitoring and caution advised
2025-09-03 07:35:21,Nongpoh Junction,Meghalaya,MODERATE,50.4,61.82,41.87,49.32,45.81,49.13,55.16,34.0,C4-007,Black/Orange-Brown,Very High,8136,1.674,Very High,Plastic Explosive (PBX),Enhanced monitoring and caution advised
2025-09-03 08:57:17,Aizawl City,Mizoram,HIGH,61.18,67.23,66.84,53.56,64.62,62.02,48.72,55.09,TATP-008,Unknown,High,5380,1.196,N/A (Primary),Primary Explosive; HME,Route diversion and increased surveillance
2025-09-03 09:25:07,Ukhrul Hills,Manipur,MODERATE,49.62,62.53,47.54,42.93,39.42,56.16,37.3,52.09,Composition C-4,Black/Orange-Brown,Very High,8066,1.66,Very High,Plastic Explosive (PBX),Enhanced monitoring and caution advised
2025-09-03 09:28:06,Mokokchung Town,Nagaland,LOW,20.35,41.74,9.45,19.33,9.55,17.17,12.71,4.35,HMX-003,Orange/Brown NOx,Very High,9130,1.916,Extremely High,Nitramine Secondary Explosive,Standard patrol procedures
2025-09-03 10:02:54,Zunheboto Hills,Nagaland,LOW,24.58,29.6,18.98,15.84,32.8,35.5,29.92,7.95,TATP-009,Unknown,High,5390,1.198,N/A (Primary),Primary Explosive; HME,Standard patrol procedures
2025-09-03 10:33:07,Dibrugarh Oil Town,Assam,MODERATE,46.25,55.91,38.05,56.6,35.1,50.17,27.19,41.87,Emulsion-006,Orange/Brown NOx,High,5160,1.237,Medium to High,Water-Based Blasting Agent,Enhanced monitoring and caution advised
